epoch,quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
0,features.9.conv.1.0.act_quantizer,act,8,4.1711,2,"(0.0, None)",,
0,features.9.conv.2.weight_quantizer,weight,8,-0.1474,7,,35.26,0.0
0,features.9.conv.2.bias_quantizer,weight,8,3.4471,3,,42.8,0.0
0,features.9.conv.2.act_quantizer,act,8,4.2319,2,,,
0,features.10.conv.0.0.weight_quantizer,weight,8,-0.3155,7,,34.83,0.0
0,features.10.conv.0.0.bias_quantizer,weight,8,5.066,1,,34.38,0.0
0,features.10.conv.0.0.act_quantizer,act,8,5.8401,1,"(0.0, None)",,
0,features.10.conv.1.0.weight_quantizer,weight,8,-0.0149,7,,38.79,0.0
0,features.10.conv.1.0.bias_quantizer,weight,8,6.4531,0,,18.63,0.0026
0,features.10.conv.1.0.act_quantizer,act,8,5.3732,1,"(0.0, None)",,
0,features.10.conv.2.weight_quantizer,weight,8,-0.0955,7,,35.26,0.0
0,features.10.conv.2.bias_quantizer,weight,8,3.6391,3,,42.6,0.0
0,features.10.conv.2.act_quantizer,act,8,4.8706,2,,,
0,features.11.conv.0.0.weight_quantizer,weight,8,-1.0287,8,,38.8,4e-05
0,features.11.conv.0.0.bias_quantizer,weight,8,5.3175,1,,29.86,0.0
0,features.11.conv.0.0.act_quantizer,act,8,5.0001,1,"(0.0, None)",,
0,features.11.conv.1.0.weight_quantizer,weight,8,-0.7709,7,,36.3,0.0
0,features.11.conv.1.0.bias_quantizer,weight,8,4.833,2,,34.53,0.0
0,features.11.conv.1.0.act_quantizer,act,8,4.9664,2,"(0.0, None)",,
0,features.11.conv.2.weight_quantizer,weight,8,-1.0,8,,38.34,0.00022
0,features.11.conv.2.bias_quantizer,weight,8,4.9621,2,,39.62,0.0
0,features.11.conv.2.act_quantizer,act,8,4.8265,2,,,
0,features.12.conv.0.0.weight_quantizer,weight,8,-0.7787,7,,34.46,0.0
0,features.12.conv.0.0.bias_quantizer,weight,8,4.2607,2,,36.57,0.0
0,features.12.conv.0.0.act_quantizer,act,8,5.5485,1,"(0.0, None)",,
0,features.12.conv.1.0.weight_quantizer,weight,8,-0.595,7,,38.37,0.0
0,features.12.conv.1.0.bias_quantizer,weight,8,3.7648,3,,38.3,0.0
0,features.12.conv.1.0.act_quantizer,act,8,5.4941,1,"(0.0, None)",,
0,features.12.conv.2.weight_quantizer,weight,8,-1.0,7,,34.58,0.0
0,features.12.conv.2.bias_quantizer,weight,8,3.8044,3,,42.79,0.0
0,features.12.conv.2.act_quantizer,act,8,4.9505,2,,,
0,features.13.conv.0.0.weight_quantizer,weight,8,-0.672,7,,34.52,0.0
0,features.13.conv.0.0.bias_quantizer,weight,8,5.1726,1,,32.3,0.0
0,features.13.conv.0.0.act_quantizer,act,8,5.6741,1,"(0.0, None)",,
0,features.13.conv.1.0.weight_quantizer,weight,8,-0.4827,7,,38.81,0.0
0,features.13.conv.1.0.bias_quantizer,weight,8,4.3879,2,,36.62,0.0
0,features.13.conv.1.0.act_quantizer,act,8,6.2296,0,"(0.0, None)",,
0,features.13.conv.2.weight_quantizer,weight,8,-0.4743,7,,35.18,0.0
0,features.13.conv.2.bias_quantizer,weight,8,4.2663,2,,39.74,0.0
0,features.13.conv.2.act_quantizer,act,8,5.5898,1,,,
0,features.14.conv.0.0.weight_quantizer,weight,8,-1.4412,8,,37.34,0.0
0,features.14.conv.0.0.bias_quantizer,weight,8,5.9977,1,,30.39,0.00174
0,features.14.conv.0.0.act_quantizer,act,8,5.9994,1,"(0.0, None)",,
0,features.14.conv.1.0.weight_quantizer,weight,8,-1.4125,8,,44.08,0.0
