quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
features.10.conv.1.0.weight_quantizer,weight,8,1.0,6,,33.01,0.0
features.10.conv.1.0.bias_quantizer,weight,8,8.0,-1,,24.35,0.0
features.10.conv.1.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.10.conv.2.weight_quantizer,weight,8,0.0,7,,35.39,0.0
features.10.conv.2.bias_quantizer,weight,8,4.0,3,,42.6,0.0
features.10.conv.2.act_quantizer,act,8,6.0,1,,,
features.11.conv.0.0.weight_quantizer,weight,8,0.0,7,,33.1,0.0
features.11.conv.0.0.bias_quantizer,weight,8,6.0,1,,29.86,0.0
features.11.conv.0.0.act_quantizer,act,8,6.0,1,"(0.0, None)",,
features.11.conv.1.0.weight_quantizer,weight,8,0.0,7,,36.51,0.0
features.11.conv.1.0.bias_quantizer,weight,8,5.0,2,,34.53,0.0
features.11.conv.1.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.11.conv.2.weight_quantizer,weight,8,0.0,7,,34.68,0.0
features.11.conv.2.bias_quantizer,weight,8,5.0,2,,39.62,0.0
features.11.conv.2.act_quantizer,act,8,6.0,1,,,
features.12.conv.0.0.weight_quantizer,weight,8,0.0,7,,34.62,0.0
features.12.conv.0.0.bias_quantizer,weight,8,5.0,2,,36.57,0.0
features.12.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.12.conv.1.0.weight_quantizer,weight,8,0.0,7,,38.59,0.0
features.12.conv.1.0.bias_quantizer,weight,8,4.0,3,,38.3,0.0
features.12.conv.1.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.12.conv.2.weight_quantizer,weight,8,0.0,7,,34.72,0.0
features.12.conv.2.bias_quantizer,weight,8,4.0,3,,42.79,0.0
features.12.conv.2.act_quantizer,act,8,6.0,1,,,
features.13.conv.0.0.weight_quantizer,weight,8,0.0,7,,34.71,0.0
features.13.conv.0.0.bias_quantizer,weight,8,6.0,1,,32.3,0.0
features.13.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.13.conv.1.0.weight_quantizer,weight,8,0.0,7,,39.07,0.0
features.13.conv.1.0.bias_quantizer,weight,8,5.0,2,,36.62,0.0
features.13.conv.1.0.act_quantizer,act,8,8.0,-1,"(0.0, None)",,
features.13.conv.2.weight_quantizer,weight,8,0.0,7,,35.34,0.0
features.13.conv.2.bias_quantizer,weight,8,5.0,2,,39.74,0.0
