epoch,quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
0,conv1.weight_quantizer,weight,8,-2.0,8,,29.53,0.0
0,conv1.bias_quantizer,weight,8,-0.1238,7,,44.59,0.0
0,conv1.act_quantizer,act,8,1.0,5,"(0.0, None)",,
0,maxpool.quantizer,act,8,1.9857,5,,,
0,layer1.0.conv1.weight_quantizer,weight,8,-1.9236,8,,28.62,0.0
0,layer1.0.conv1.bias_quantizer,weight,8,0.7712,6,,42.19,0.0
0,layer1.0.conv1.act_quantizer,act,8,0.3863,6,"(0.0, None)",,
0,layer1.0.conv2.weight_quantizer,weight,8,-0.7252,7,,28.98,0.0
0,layer1.0.conv2.bias_quantizer,weight,8,0.8395,6,,39.82,0.0
0,layer1.0.conv2.act_quantizer,act,8,1.8669,5,,,
0,layer1.1.conv1.weight_quantizer,weight,8,-1.9114,8,,27.19,0.0
0,layer1.1.conv1.bias_quantizer,weight,8,0.642,6,,41.31,0.0
0,layer1.1.conv1.act_quantizer,act,8,1.0,5,"(0.0, None)",,
0,layer1.1.conv2.weight_quantizer,weight,8,-0.0903,7,,31.6,3e-05
0,layer1.1.conv2.bias_quantizer,weight,8,0.7972,6,,39.22,0.0
0,layer1.1.conv2.act_quantizer,act,8,2.2039,4,,,
0,layer2.0.conv1.weight_quantizer,weight,8,-2.7315,9,,29.09,0.0
0,layer2.0.conv1.bias_quantizer,weight,8,-0.1318,7,,39.32,0.0
0,layer2.0.conv1.act_quantizer,act,8,0.9217,6,"(0.0, None)",,
0,layer2.0.conv2.weight_quantizer,weight,8,-1.0,8,,28.23,0.00014
0,layer2.0.conv2.bias_quantizer,weight,8,0.5517,6,,39.53,0.0
0,layer2.0.conv2.act_quantizer,act,8,1.9168,5,,,
0,layer2.0.downsample.0.weight_quantizer,weight,8,-1.0,7,,28.15,0.0
0,layer2.0.downsample.0.bias_quantizer,weight,8,0.6103,6,,35.8,0.0
0,layer2.0.downsample.0.act_quantizer,act,8,1.0,6,,,
0,layer2.1.conv1.weight_quantizer,weight,8,-1.8385,8,,26.68,0.0
