quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
layer2.3.conv1.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer2.3.conv1.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer2.3.conv2.weight_quantizer,weight,8,0.0,7,,25.51,0.0
layer2.3.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer2.3.conv2.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer2.3.conv3.weight_quantizer,weight,8,1.0,6,,21.18,0.0
layer2.3.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer2.3.conv3.act_quantizer,act,8,4.0,3,,,
layer3.0.conv1.weight_quantizer,weight,8,0.0,7,,28.76,0.0
layer3.0.conv1.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.0.conv1.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer3.0.conv2.weight_quantizer,weight,8,-1.0,8,,29.27,1e-05
layer3.0.conv2.bias_quantizer,weight,8,2.0,5,,zero-tensor,0.0
layer3.0.conv2.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.0.conv3.weight_quantizer,weight,8,1.0,6,,20.19,0.0
layer3.0.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer3.0.conv3.act_quantizer,act,8,4.0,3,,,
layer3.0.downsample.0.weight_quantizer,weight,8,0.0,7,,22.23,0.0
layer3.0.downsample.0.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.0.downsample.0.act_quantizer,act,8,4.0,3,,,
layer3.1.conv1.weight_quantizer,weight,8,-1.0,8,,26.98,3e-05
layer3.1.conv1.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.1.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.1.conv2.weight_quantizer,weight,8,0.0,7,,22.05,0.0
layer3.1.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.1.conv2.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.1.conv3.weight_quantizer,weight,8,2.0,5,,12.45,0.0
layer3.1.conv3.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.1.conv3.act_quantizer,act,8,3.0,4,,,
layer3.2.conv1.weight_quantizer,weight,8,-1.0,8,,27.69,3e-05
layer3.2.conv1.bias_quantizer,weight,8,2.0,5,,zero-tensor,0.0
layer3.2.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.2.conv2.weight_quantizer,weight,8,1.0,6,,15.8,0.0
layer3.2.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.2.conv2.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.2.conv3.weight_quantizer,weight,8,1.0,6,,17.47,0.0
layer3.2.conv3.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.2.conv3.act_quantizer,act,8,3.0,4,,,
layer3.3.conv1.weight_quantizer,weight,8,-1.0,8,,28.77,5e-05
layer3.3.conv1.bias_quantizer,weight,8,2.0,5,,zero-tensor,0.0
layer3.3.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.3.conv2.weight_quantizer,weight,8,-1.0,8,,26.88,1e-05
layer3.3.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.3.conv2.act_quantizer,act,8,2.0,5,"(0.0, None)",,
layer3.3.conv3.weight_quantizer,weight,8,1.0,6,,17.6,0.0
layer3.3.conv3.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.3.conv3.act_quantizer,act,8,3.0,4,,,
layer3.4.conv1.weight_quantizer,weight,8,-1.0,8,,28.94,2e-05
layer3.4.conv1.bias_quantizer,weight,8,2.0,5,,zero-tensor,0.0
layer3.4.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.4.conv2.weight_quantizer,weight,8,0.0,7,,21.56,0.0
layer3.4.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.4.conv2.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.4.conv3.weight_quantizer,weight,8,2.0,5,,11.64,0.0
layer3.4.conv3.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.4.conv3.act_quantizer,act,8,4.0,3,,,
layer3.5.conv1.weight_quantizer,weight,8,-1.0,8,,29.9,1e-05
layer3.5.conv1.bias_quantizer,weight,8,2.0,5,,zero-tensor,0.0
layer3.5.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.5.conv2.weight_quantizer,weight,8,0.0,7,,21.39,0.0
layer3.5.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.5.conv2.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer3.5.conv3.weight_quantizer,weight,8,1.0,6,,18.23,0.0
layer3.5.conv3.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer3.5.conv3.act_quantizer,act,8,3.0,4,,,
layer4.0.conv1.weight_quantizer,weight,8,0.0,7,,25.47,0.0
layer4.0.conv1.bias_quantizer,weight,8,2.0,5,,zero-tensor,0.0
layer4.0.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer4.0.conv2.weight_quantizer,weight,8,-1.0,8,,26.16,0.0
layer4.0.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer4.0.conv2.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer4.0.conv3.weight_quantizer,weight,8,1.0,6,,18.02,0.0
layer4.0.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer4.0.conv3.act_quantizer,act,8,5.0,2,,,
layer4.0.downsample.0.weight_quantizer,weight,8,1.0,6,,14.66,0.0
layer4.0.downsample.0.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer4.0.downsample.0.act_quantizer,act,8,4.0,3,,,
layer4.1.conv1.weight_quantizer,weight,8,-1.0,8,,27.78,1e-05
layer4.1.conv1.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer4.1.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer4.1.conv2.weight_quantizer,weight,8,-1.0,8,,25.37,0.0
layer4.1.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer4.1.conv2.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer4.1.conv3.weight_quantizer,weight,8,1.0,6,,16.91,0.0
layer4.1.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer4.1.conv3.act_quantizer,act,8,4.0,3,,,
layer4.2.conv1.weight_quantizer,weight,8,-1.0,8,,26.97,2e-05
layer4.2.conv1.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer4.2.conv1.act_quantizer,act,8,2.0,5,"(0.0, None)",,
layer4.2.conv2.weight_quantizer,weight,8,0.0,7,,18.09,0.0
layer4.2.conv2.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer4.2.conv2.act_quantizer,act,8,2.0,5,"(0.0, None)",,
layer4.2.conv3.weight_quantizer,weight,8,2.0,5,,9.94,0.0
layer4.2.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer4.2.conv3.act_quantizer,act,8,4.0,3,,,
avgpool.quantizer,act,8,3.0,4,,,
fc.weight_quantizer,weight,8,1.0,6,,19.07,0.0
fc.bias_quantizer,weight,8,-3.0,10,,39.83,0.0
fc.act_quantizer,act,8,1.0,6,,,
add.quantizer,act,8,5.0,2,"(0.0, None)",,
add_1.quantizer,act,8,5.0,2,"(0.0, None)",,
add_2.quantizer,act,8,5.0,2,"(0.0, None)",,
add_3.quantizer,act,8,5.0,2,"(0.0, None)",,
add_4.quantizer,act,8,5.0,2,"(0.0, None)",,
add_5.quantizer,act,8,4.0,3,"(0.0, None)",,
add_6.quantizer,act,8,4.0,3,"(0.0, None)",,
add_7.quantizer,act,8,4.0,3,"(0.0, None)",,
add_8.quantizer,act,8,4.0,3,"(0.0, None)",,
add_9.quantizer,act,8,4.0,3,"(0.0, None)",,
add_10.quantizer,act,8,3.0,4,"(0.0, None)",,
add_11.quantizer,act,8,3.0,4,"(0.0, None)",,
add_12.quantizer,act,8,3.0,4,"(0.0, None)",,
add_13.quantizer,act,8,4.0,3,"(0.0, None)",,
add_14.quantizer,act,8,4.0,3,"(0.0, None)",,
add_15.quantizer,act,8,3.0,4,"(0.0, None)",,
quant_stub.quantizer,act,8,2.0,5,,,
