quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
conv1.weight_quantizer,weight,8,3.0,4,,23.55,0.0
conv1.bias_quantizer,weight,8,5.0,2,,zero-tensor,0.0
conv1.act_quantizer,act,8,6.0,1,"(0.0, None)",,
maxpool.quantizer,act,8,6.0,1,,,
layer1.0.conv1.weight_quantizer,weight,8,0.0,7,,20.62,0.00439
layer1.0.conv1.bias_quantizer,weight,8,5.0,2,,zero-tensor,0.0
layer1.0.conv1.act_quantizer,act,8,5.0,2,"(0.0, None)",,
layer1.0.conv2.weight_quantizer,weight,8,0.0,7,,24.5,0.00024
layer1.0.conv2.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer1.0.conv2.act_quantizer,act,8,5.0,2,"(0.0, None)",,
layer1.0.conv3.weight_quantizer,weight,8,2.0,5,,20.41,0.0
layer1.0.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer1.0.conv3.act_quantizer,act,8,4.0,3,,,
layer1.0.downsample.0.weight_quantizer,weight,8,2.0,5,,24.06,0.0
layer1.0.downsample.0.bias_quantizer,weight,8,5.0,2,,zero-tensor,0.0
layer1.0.downsample.0.act_quantizer,act,8,5.0,2,,,
layer1.1.conv1.weight_quantizer,weight,8,3.0,4,,13.7,0.0
layer1.1.conv1.bias_quantizer,weight,8,6.0,1,,zero-tensor,0.0
layer1.1.conv1.act_quantizer,act,8,5.0,2,"(0.0, None)",,
layer1.1.conv2.weight_quantizer,weight,8,0.0,7,,30.54,0.0
layer1.1.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer1.1.conv2.act_quantizer,act,8,5.0,2,"(0.0, None)",,
layer1.1.conv3.weight_quantizer,weight,8,2.0,5,,20.1,0.0
layer1.1.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer1.1.conv3.act_quantizer,act,8,6.0,1,,,
layer1.2.conv1.weight_quantizer,weight,8,1.0,6,,24.63,0.0
layer1.2.conv1.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer1.2.conv1.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer1.2.conv2.weight_quantizer,weight,8,1.0,6,,23.66,0.0
layer1.2.conv2.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer1.2.conv2.act_quantizer,act,8,5.0,2,"(0.0, None)",,
layer1.2.conv3.weight_quantizer,weight,8,3.0,4,,13.25,0.0
layer1.2.conv3.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer1.2.conv3.act_quantizer,act,8,5.0,2,,,
layer2.0.conv1.weight_quantizer,weight,8,1.0,6,,26.0,0.0
layer2.0.conv1.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer2.0.conv1.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer2.0.conv2.weight_quantizer,weight,8,-1.0,8,,32.45,0.0
layer2.0.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer2.0.conv2.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer2.0.conv3.weight_quantizer,weight,8,1.0,6,,23.16,0.0
layer2.0.conv3.bias_quantizer,weight,8,5.0,2,,zero-tensor,0.0
layer2.0.conv3.act_quantizer,act,8,5.0,2,,,
layer2.0.downsample.0.weight_quantizer,weight,8,1.0,6,,20.47,0.0
layer2.0.downsample.0.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer2.0.downsample.0.act_quantizer,act,8,5.0,2,,,
layer2.1.conv1.weight_quantizer,weight,8,0.0,7,,26.28,0.0
layer2.1.conv1.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer2.1.conv1.act_quantizer,act,8,3.0,4,"(0.0, None)",,
layer2.1.conv2.weight_quantizer,weight,8,0.0,7,,26.48,0.0
layer2.1.conv2.bias_quantizer,weight,8,4.0,3,,zero-tensor,0.0
layer2.1.conv2.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer2.1.conv3.weight_quantizer,weight,8,2.0,5,,16.15,0.0
layer2.1.conv3.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer2.1.conv3.act_quantizer,act,8,4.0,3,,,
layer2.2.conv1.weight_quantizer,weight,8,0.0,7,,27.36,0.0
layer2.2.conv1.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer2.2.conv1.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer2.2.conv2.weight_quantizer,weight,8,0.0,7,,25.66,0.0
layer2.2.conv2.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer2.2.conv2.act_quantizer,act,8,4.0,3,"(0.0, None)",,
layer2.2.conv3.weight_quantizer,weight,8,1.0,6,,21.32,0.0
layer2.2.conv3.bias_quantizer,weight,8,3.0,4,,zero-tensor,0.0
layer2.2.conv3.act_quantizer,act,8,4.0,3,,,
layer2.3.conv1.weight_quantizer,weight,8,-1.0,8,,33.09,6e-05
